No_Transaksi,Tanggal,Waktu,Customer_ID,Items,Total_Item,Total_Harga,Metode_Pembayaran
TRX-20240612-001,2024-06-12,09:01,CUST-1190,"teh, biskuit, gula, tisu",4,41000,Tunai
TRX-20240519-001,2024-05-19,09:37,CUST-1109,"susu, roti tawar, teh, biskuit, gula, telur, pisang",7,92000,Debit
TRX-20240523-001,2024-05-23,11:45,CUST-1167,"bawang, soda",2,15000,Debit
TRX-20240102-001,2024-01-02,20:51,CUST-1041,"biskuit, krim",2,30000,Tunai
TRX-20240327-001,2024-03-27,09:05,CUST-1098,"susu, minyak goreng, tomat, bawang, deterjen, keju, telur, roti gandum",8,137000,Debit
TRX-20240201-001,2024-02-01,14:05,CUST-1142,"jus jeruk, gula, tisu, sabun, sampo",5,72000,QRIS
TRX-20240112-001,2024-01-12,18:14,CUST-1198,"roti tawar, telur, mentega, susu",4,74000,Tunai
TRX-20240426-001,2024-04-26,18:53,CUST-1094,"minyak goreng, teh, tomat, biskuit, bawang, es krim, gula, sabun, telur",9,124000,Debit
TRX-20240604-001,2024-06-04,18:10,CUST-1137,"tahu, bayam",2,12000,Tunai
TRX-20240612-002,2024-06-12,19:35,CUST-1057,"soda, roti gandum",2,24000,QRIS
TRX-20240412-001,2024-04-12,12:04,CUST-1055,"air mineral, nugget",2,33000,Debit
TRX-20240613-001,2024-06-13,15:09,CUST-1068,"keripik, soda, bawang, kentang, garam, tisu, cokelat, daging sapi, wortel",9,134000,Debit
TRX-20240529-001,2024-05-29,14:23,CUST-1057,"apel, pisang",2,23000,Tunai
TRX-20240113-001,2024-01-13,09:09,CUST-1161,"kecap, tahu, tempe, minyak goreng, tisu, sabun, sampo",7,93000,Tunai
TRX-20240429-001,2024-04-29,16:16,CUST-1142,"deterjen, es krim",2,38000,Tunai
TRX-20240517-001,2024-05-17,20:17,CUST-1197,"susu, roti tawar, tomat, kopi, telur",5,95000,Debit
TRX-20240308-001,2024-03-08,16:48,CUST-1046,"minyak goreng, susu, roti tawar, telur, pisang",5,82000,Debit
TRX-20240209-001,2024-02-09,13:48,CUST-1042,"jeruk, apel, kecap, anggur",4,74000,Tunai
TRX-20240105-001,2024-01-05,09:59,CUST-1093,"cokelat, muffin",2,25000,Tunai
TRX-20240525-001,2024-05-25,09:05,CUST-1188,"roti tawar, telur, yogurt, susu",4,66000,QRIS
TRX-20240520-001,2024-05-20,10:16,CUST-1136,"air mineral, anggur",2,40000,QRIS
TRX-20240625-001,2024-06-25,11:45,CUST-1080,"bawang, jeruk, tisu, sabun, sampo",5,64000,Debit
TRX-20240304-001,2024-03-04,11:04,CUST-1087,"keripik, soda, teh, roti tawar, biskuit, gula, cokelat",7,76000,Tunai
TRX-20240610-001,2024-06-10,08:14,CUST-1018,"bagel, pisang",2,21000,Tunai
TRX-20240620-001,2024-06-20,15:13,CUST-1139,"biskuit, kentang, kopi, sosis, nugget, saos, cokelat",7,130000,QRIS
TRX-20240218-001,2024-02-18,09:06,CUST-1169,"kecap, tahu, minyak goreng, bayam, deterjen, tempe",6,70000,Tunai
TRX-20240616-001,2024-06-16,18:06,CUST-1016,"minyak goreng, tomat, bawang, telur, cokelat",5,75000,Tunai
TRX-20240517-002,2024-05-17,15:08,CUST-1109,"susu, teh, biskuit, bawang, gula, yogurt, pisang",7,76000,QRIS
TRX-20240520-002,2024-05-20,09:03,CUST-1167,"cokelat, susu",2,31000,Tunai
TRX-20240504-001,2024-05-04,15:13,CUST-1103,"roti tawar, tahu",2,19000,Kredit
TRX-20240308-002,2024-03-08,20:50,CUST-1117,"jus jeruk, daging sapi, bawang, kentang, krim, wortel",6,120000,Tunai
TRX-20240115-001,2024-01-15,17:47,CUST-1139,"mentega, minyak goreng, susu, roti tawar, tomat, bawang, garam, telur",8,115000,Debit
TRX-20240515-001,2024-05-15,10:03,CUST-1131,"susu, roti tawar, es krim, kopi, gula, telur",6,121000,QRIS
TRX-20240413-001,2024-04-13,09:56,CUST-1146,"nugget, saos, sosis",3,60000,Tunai
TRX-20240617-001,2024-06-17,17:36,CUST-1134,"kecap, minyak goreng, bawang, ayam, sosis",5,97000,QRIS
TRX-20240302-001,2024-03-02,12:25,CUST-1034,"telur, bayam",2,29000,Kredit
TRX-20240119-001,2024-01-19,08:29,CUST-1160,"anggur, bagel",2,48000,Tunai
TRX-20240308-003,2024-03-08,10:59,CUST-1090,"ikan, permen",2,35000,Tunai
